Time (iso),RA (GCRS) [deg],Dec (GCRS) [deg],Distance (GCRS) [km]
2024-09-11 00:00:00.000,87.95841330482895,-39.06346549158361,7067.917061474375
2024-09-11 00:01:00.000,87.12614992160955,-35.471239644671854,7067.734122253361
2024-09-11 00:02:00.000,86.36516742908869,-31.87331461765354,7067.554447073032
2024-09-11 00:03:00.000,85.66144852072304,-28.270740385259245,7067.376565850658
2024-09-11 00:04:00.000,85.0038115729731,-24.66435896993248,7067.199130152478
2024-09-11 00:05:00.000,84.38315249826124,-21.054861134768455,7067.02095251558
2024-09-11 00:06:00.000,83.7919016011928,-17.442826752038503,7066.841042503897
2024-09-11 00:07:00.000,83.22362468412281,-13.828754267019606,7066.658638833702
2024-09-11 00:08:00.000,82.67272211649477,-10.213082780319391,7066.4732369702115
2024-09-11 00:09:00.000,82.13419471336829,-6.596209107945047,7066.284611673541
2024-09-11 00:10:00.000,81.60345440100235,-2.9784990270158382,7066.092833928415
2024-09-11 00:11:00.000,81.07616608847901,0.6396915561753429,7065.898282691103
2024-09-11 00:12:00.000,80.54810337968532,4.258021002474685,7065.70164927612
2024-09-11 00:13:00.000,80.01501525848605,7.876142635966716,7065.503936817769
2024-09-11 00:14:00.000,79.47248929606711,11.493697445958746,7065.306452851051
2024-09-11 00:15:00.000,78.91580421379814,15.110303544245186,7065.1107958568755
2024-09-11 00:16:00.000,78.33976084643795,18.72554400968684,7064.9188358284355
2024-09-11 00:17:00.000,77.73847829510143,22.338952128830883,7064.732689147698
2024-09-11 00:18:00.000,77.10513763386203,25.949992705656587,7064.554688160778
2024-09-11 00:19:00.000,76.43164842190511,29.558037570900847,7064.3873459346605
2024-09-11 00:20:00.000,75.70820196426907,33.1623325565036,7064.233316763144
2024-09-11 00:21:00.000,74.92265659786749,36.76195421378061,7064.095352979807
2024-09-11 00:22:00.000,74.05967456783739,40.35573537350586,7063.976259319927
2024-09-11 00:23:00.000,73.09946967408172,43.94218546040846,7063.87884423084
2024-09-11 00:24:00.000,72.01595929230741,47.51934031444412,7063.805870792663
2024-09-11 00:25:00.000,70.77394805633892,51.0845488045185,7063.760006657799
2024-09-11 00:26:00.000,69.3247118470085,54.63413059839641,7063.743774432066
2024-09-11 00:27:00.000,67.59883932413649,58.16281333497602,7063.759503241549
2024-09-11 00:28:00.000,65.4941965454877,61.66276775178581,7063.809282311651
2024-09-11 00:29:00.000,62.8548751939071,65.12187301161617,7063.894917355521
2024-09-11 00:30:00.000,59.432841373964166,68.52042482396897,7064.017890525966
2024-09-11 00:31:00.000,54.81557580718535,71.82450475237864,7064.179324629272
2024-09-11 00:32:00.000,48.28846348455297,74.97180671975082,7064.379952232139
2024-09-11 00:33:00.000,38.598037475018245,77.84018981187106,7064.620090389025
2024-09-11 00:34:00.000,23.768287452451737,80.1823621390863,7064.899620436705
2024-09-11 00:35:00.000,2.248429080743061,81.5492631761644,7065.2179757093045
2024-09-11 00:36:00.000,337.3421902582385,81.4594824674136,7065.574134223333
2024-09-11 00:37:00.000,316.56722963864536,79.95238923352522,7065.9666188465935
2024-09-11 00:38:00.000,302.4466901201391,77.5321006714986,7066.393504095101
2024-09-11 00:39:00.000,293.2103866549192,74.624258295705,7066.852429654067
2024-09-11 00:40:00.000,286.9556213841472,71.45708682714326,7067.340620463631
2024-09-11 00:41:00.000,282.5058905809621,68.14326209558897,7067.854913105118
2024-09-11 00:42:00.000,279.19165615461617,64.74064709335082,7068.391788123106
2024-09-11 00:43:00.000,276.6248624182389,61.28097760250275,7068.947407824384
2024-09-11 00:44:00.000,274.5709760490963,57.78280786944907,7069.517659394413
2024-09-11 00:45:00.000,272.88184141327014,54.257616306003115,7070.0982003953195
2024-09-11 00:46:00.000,271.4599643161962,50.71283944908594,7070.684511719376
2024-09-11 00:47:00.000,270.2388260945731,47.153498145959674,7071.271949590306
2024-09-11 00:48:00.000,269.17157133644554,43.58309984174707,7071.855801543543
2024-09-11 00:49:00.000,268.22425081030644,40.00416900867286,7072.431343283308
2024-09-11 00:50:00.000,267.37163640978497,36.418571167919126,7072.993895952584
2024-09-11 00:51:00.000,266.59454299157886,32.827718063936196,7073.538882969079
2024-09-11 00:52:00.000,265.87806305152657,29.232701782635402,7074.061885587996
2024-09-11 00:53:00.000,265.2103711729014,25.634384965059933,7074.558696373773
2024-09-11 00:54:00.000,264.5818936357571,22.03346310555594,7075.025369796634
2024-09-11 00:55:00.000,263.9847170661922,18.430506244069782,7075.458269493723
2024-09-11 00:56:00.000,263.4121590371441,14.826000647135825,7075.854109818422
2024-09-11 00:57:00.000,262.8584430844468,11.220358166171238,7076.209995364616
2024-09-11 00:58:00.000,262.31845168800646,7.613944204341106,7076.523452113105
2024-09-11 00:59:00.000,261.7875274624205,4.007089843950538,7076.792454167498
2024-09-11 01:00:00.000,261.26130802947404,0.40010390329640727,7077.01544392725
2024-09-11 01:01:00.000,260.7355813936008,-3.206716535408745,7077.191345734545
2024-09-11 01:02:00.000,260.20615151578374,-6.813076356387904,7077.319572829528
2024-09-11 01:03:00.000,259.6687049697021,-10.418672718036676,7077.400027550761
2024-09-11 01:04:00.000,259.1186696893941,-14.023184766615541,7077.433094820236
2024-09-11 01:05:00.000,258.551055902011,-17.62626201536126,7077.419629054307
2024-09-11 01:06:00.000,257.9602668147948,-21.22751290246529,7077.360934686649
2024-09-11 01:07:00.000,257.33986572965716,-24.826477859243173,7077.258740935334
2024-09-11 01:08:00.000,256.68227185725266,-28.42262146935926,7077.115170570972
2024-09-11 01:09:00.000,255.9783614149717,-32.015293048520505,7076.932703986275
2024-09-11 01:10:00.000,255.21692154866116,-35.60368832765281,7076.714138631371
2024-09-11 01:11:00.000,254.38388817904126,-39.18679229001623,7076.462544640581
2024-09-11 01:12:00.000,253.46125542506553,-42.76329693350426,7076.181217330755
2024-09-11 01:13:00.000,252.42547571434216,-46.33147985902219,7075.873627320062
2024-09-11 01:14:00.000,251.24504964224582,-49.8890199411943,7075.54336904928
2024-09-11 01:15:00.000,249.87678886592525,-53.432708683627304,7075.19410850843
2024-09-11 01:16:00.000,248.25983403033737,-56.957982209160804,7074.829530979909
2024-09-11 01:17:00.000,246.30573624710615,-60.45813177129903,7074.453289605354
2024-09-11 01:18:00.000,243.88136482828585,-63.92291256976147,7074.068955306761
2024-09-11 01:19:00.000,240.77824670999044,-67.33594449890242,7073.679970379321
2024-09-11 01:20:00.000,236.655382497505,-70.66962596082756,7073.289602593802
2024-09-11 01:21:00.000,230.9303068637397,-73.87445439979754,7072.900905641175
